Combination Index,Learning Rate,Effective Batch Size,Weight Decay,Epochs Configured,Epoch,Train Loss,Val Loss,BLEU Score,METEOR Score,Is Best Epoch
1,2e-05,16,0.01,5,1,0.3890,0.0163,74.35,0.91,FALSE
1,2e-05,16,0.01,5,2,0.0161,0.0120,78.65,0.92,FALSE
1,2e-05,16,0.01,5,3,0.0125,0.0106,80.33,0.93,TRUE
2,2e-05,16,0.01,5,1,0.4911,0.0175,73.52,0.90,FALSE
2,2e-05,16,0.01,5,2,0.0183,0.0131,77.87,0.92,FALSE
2,2e-05,16,0.01,5,3,0.0133,0.0108,80.29,0.93,FALSE
2,2e-05,16,0.01,5,4,0.0108,0.0099,81.35,0.93,FALSE
2,2e-05,16,0.01,5,5,0.0094,0.0095,82.25,0.94,TRUE
3,3e-05,16,0.01,3,1,0.3241,0.0150,75.64,0.91,FALSE
3,3e-05,16,0.01,3,2,0.0149,0.0117,79.03,0.93,FALSE
3,3e-05,16,0.01,3,3,0.0116,0.0101,81.20,0.93,TRUE
4,3e-05,16,0.01,5,1,0.4071,0.0161,74.66,0.90,FALSE
4,3e-05,16,0.01,5,2,0.0154,0.0116,79.49,0.93,FALSE
4,3e-05,16,0.01,5,3,0.0118,0.0102,81.08,0.93,FALSE
4,3e-05,16,0.01,5,4,0.0098,0.0096,82.01,0.94,FALSE
4,3e-05,16,0.01,5,5,0.0085,0.0091,82.67,0.94,TRUE
