Combination Index,Learning Rate,Effective Batch Size,Weight Decay,Epochs Configured,Epoch,Train Loss,Val Loss,BLEU Score,METEOR Score,Is Best Epoch
1,2e-05,16,0.01,5,1,4.7142,0.0864,21.62,0.66,FALSE
1,2e-05,16,0.01,5,2,0.0823,0.0528,49.96,0.77,FALSE
1,2e-05,16,0.01,5,3,0.0589,0.0410,58.10,0.81,TRUE
2,2e-05,16,0.01,5,1,6.0452,0.0973,13.87,0.62,FALSE
2,2e-05,16,0.01,5,2,0.0875,0.0539,49.03,0.77,FALSE
2,2e-05,16,0.01,5,3,0.0584,0.0396,59.09,0.82,FALSE
2,2e-05,16,0.01,5,4,0.0476,0.0341,62.63,0.84,FALSE
2,2e-05,16,0.01,5,5,0.0437,0.0308,64.73,0.85,TRUE
3,3e-05,16,0.01,3,1,3.8611,0.0702,33.02,0.70,FALSE
3,3e-05,16,0.01,3,2,0.0701,0.0428,56.37,0.81,FALSE
3,3e-05,16,0.01,3,3,0.0505,0.0342,62.76,0.84,TRUE
4,3e-05,16,0.01,5,1,4.9602,0.0805,24.93,0.67,FALSE
4,3e-05,16,0.01,5,2,0.0750,0.0441,55.19,0.80,FALSE
4,3e-05,16,0.01,5,3,0.0506,0.0333,63.29,0.84,FALSE
4,3e-05,16,0.01,5,4,0.0414,0.0288,66.26,0.86,FALSE
4,3e-05,16,0.01,5,5,0.0380,0.0264,67.75,0.87,TRUE
